"AreaID","Counties","Cities","URL","Sex","Cancer","Years","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerDocVisit","PerFOBT","PerMammo","PerMenPrev","PerCervical","PerWomenPrev"
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Prostate","05yr",8360006,42.4,41.2,43.8,2700740,45.7,43.6,47.8,936743,66.1,61.5,70.9,1858037,36.4,33.0,40.0,2836343,24.9,23.1,26.7,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Prostate","05yr",4150512,91.9,89.0,94.7,1362043,96.0,91.7,100.5,453754,147.1,136.9,157.9,945230,80.2,72.5,88.4,1376430,55.5,51.5,59.6,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Prostate","05yr",4209494,0.0,0.0,0.1,1338697,0.0,0.0,0.3,482989,0.0,0.0,0.8,912807,0.0,0.0,0.5,1459913,0.0,0.0,0.3,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Breast","05yr",8360006,65.9,64.3,67.6,2700740,73.9,71.0,76.8,936743,67.3,62.4,72.5,1858037,49.6,45.9,53.6,2836343,61.4,58.7,64.3,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Breast","05yr",4150512,1.2,0.8,1.5,1362043,1.4,0.9,2.1,453754,2.0,0.9,3.9,945230,0.9,0.3,2.3,1376430,0.5,0.2,1.1,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Breast","05yr",4209494,125.4,122.2,128.7,1338697,143.9,138.3,149.8,482989,122.0,113.0,131.5,912807,95.3,88.2,102.8,1459913,115.2,110.0,120.5,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Lung","05yr",8360006,35.6,34.3,36.8,2700740,36.8,34.9,38.7,936743,48.3,44.2,52.6,1858037,25.6,22.6,28.8,2836343,32.3,30.3,34.5,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Lung","05yr",4150512,37.8,35.9,39.7,1362043,36.6,33.8,39.6,453754,52.7,46.1,59.9,945230,24.4,19.9,29.5,1376430,38.8,35.4,42.4,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Lung","05yr",4209494,34.3,32.7,36.0,1338697,37.3,34.7,40.0,482989,45.5,40.3,51.2,912807,27.2,23.1,31.6,1459913,27.6,25.1,30.4,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","CRC","05yr",8360006,30.8,29.6,31.9,2700740,32.8,30.9,34.7,936743,37.3,33.7,41.2,1858037,28.1,25.2,31.3,2836343,26.1,24.3,28.0,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","CRC","05yr",4150512,34.4,32.6,36.2,1362043,37.5,34.6,40.6,453754,41.7,35.9,48.1,945230,32.9,28.1,38.1,1376430,27.6,24.9,30.6,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","CRC","05yr",4209494,27.6,26.1,29.1,1338697,28.2,25.8,30.8,482989,34.0,29.4,39.2,912807,24.3,20.7,28.3,1459913,24.8,22.4,27.4,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Mela","05yr",8360006,19.6,18.7,20.5,2700740,42.4,40.3,44.6,936743,1.4,0.8,2.5,1858037,5.2,4.0,6.7,2836343,0.6,0.4,1.0,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Mela","05yr",4150512,25.5,23.9,27.1,1362043,52.9,49.5,56.5,453754,1.8,0.7,3.7,945230,4.5,2.9,6.7,1376430,0.8,0.4,1.5,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Mela","05yr",4209494,15.1,14.1,16.3,1338697,34.6,31.8,37.6,482989,1.2,0.5,2.6,912807,5.9,4.2,8.1,1459913,0.5,0.2,1.0,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Uterine","05yr",8360006,14.2,13.5,15.0,2700740,14.5,13.3,15.8,936743,15.8,13.5,18.3,1858037,13.0,11.2,15.1,2836343,12.6,11.4,13.9,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Uterine","05yr",4150512,0.0,0.0,0.1,1362043,0.0,0.0,0.3,453754,0.0,0.0,0.9,945230,0.0,0.0,0.6,1376430,0.0,0.0,0.3,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Uterine","05yr",4209494,27.2,25.8,28.7,1338697,28.5,26.1,31.0,482989,28.8,24.7,33.4,912807,25.2,21.7,29.1,1459913,23.8,21.5,26.2,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Lymph","05yr",8360006,18.3,17.4,19.2,2700740,20.8,19.3,22.4,936743,15.8,13.4,18.5,1858037,18.1,15.8,20.7,2836343,14.7,13.3,16.2,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Lymph","05yr",4150512,22.4,21.0,24.0,1362043,25.3,22.9,27.9,453754,20.9,16.8,25.8,945230,20.4,16.6,24.7,1376430,18.3,16.0,20.8,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Lymph","05yr",4209494,15.0,14.0,16.2,1338697,17.3,15.4,19.3,482989,11.5,8.9,14.8,912807,16.5,13.5,20.0,1459913,11.8,10.2,13.7,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Urinary","05yr",8360006,13.6,12.9,14.4,2700740,19.2,17.8,20.7,936743,11.8,9.9,14.1,1858037,10.1,8.2,12.2,2836343,7.1,6.1,8.2,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Urinary","05yr",4150512,24.1,22.5,25.7,1362043,34.6,31.8,37.5,453754,19.2,15.3,23.8,945230,16.0,12.4,20.3,1376430,12.6,10.6,14.8,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Urinary","05yr",4209494,5.7,5.1,6.4,1338697,7.0,5.9,8.3,482989,6.9,4.9,9.4,912807,5.9,4.1,8.1,1459913,2.8,2.1,3.8,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Kidney","05yr",8360006,12.6,11.9,13.4,2700740,13.3,12.2,14.6,936743,18.2,15.8,20.9,1858037,15.6,13.5,17.9,2836343,8.0,7.0,9.1,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Kidney","05yr",4150512,17.5,16.3,18.8,1362043,18.5,16.5,20.7,453754,26.7,22.2,31.7,945230,19.8,16.3,23.9,1376430,11.1,9.4,13.0,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Kidney","05yr",4209494,8.5,7.7,9.3,1338697,8.9,7.6,10.4,482989,11.3,8.8,14.5,912807,11.9,9.5,14.8,1459913,5.4,4.3,6.7,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Both","Thyroid","05yr",8360006,10.2,9.6,10.9,2700740,10.7,9.5,12.0,936743,5.3,4.0,6.9,1858037,9.5,8.1,11.2,2836343,11.4,10.2,12.7,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Male","Thyroid","05yr",4150512,5.6,4.9,6.4,1362043,6.4,5.2,7.8,453754,2.9,1.6,4.9,945230,4.9,3.4,6.9,1376430,5.8,4.6,7.2,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
"001","Alameda","Livermore, Dublin, Berkeley, Hayward, Alameda, Newark, San Leandro, Oakland, Fremont, Pleasanton, Union City","https://www.californiahealthmaps.org?areatype=county&address=001","Female","Thyroid","05yr",4209494,14.9,13.8,16.1,1338697,15.4,13.4,17.6,482989,7.4,5.3,10.2,912807,14.4,11.9,17.3,1459913,16.6,14.6,18.7,5,1668412,0.5,4.0,33.3,32.3,11.0,34.1,22.2,61.1,61.0,71.6,38.2,79.0,30.9
